id,level1,level2,level3,level4,testscripts,processflow
N1,Order to Cash,Master Data,Business partner,Customer Master,,
N2,Order to Cash,Master Data,Business partner,Customer hierarchy,,
N3,Order to Cash,Master Data,Business partner,Sales employee,,
N4,Order to Cash,Master Data,Products,Product BoM,,
N5,Order to Cash,Master Data,Products,Product Routing ,,
N6,Order to Cash,Master Data,Products,Product Costing / Updates,,
N7,Order to Cash,Master Data,Products,Product Configuration,,
N8,Order to Cash,Master Data,Products,BoM Component Cost / Updates,,
N9,Order to Cash,Master Data,Products,Material determination,,
N10,Order to Cash,Master Data,Products,Item proposal,,
N11,Order to Cash,Master Data,Products,Cross Selling,,
N12,Order to Cash,Master Data,Products,Material Listing /Material Exclusion,,
N13,Order to Cash,Master Data,Products,Product allocation,,
N14,Order to Cash,Master Data,Agreements / Conditions,Customer material information,,
N15,Order to Cash,Master Data,Agreements / Conditions,Pricing Conditions,,
N16,Order to Cash,Master Data,Output,Print Output  - Sales Document,,
N17,Order to Cash,Master Data,Transport,Route schedule,,
N18,Order to Cash,Master Data,Foreign trade,Basic Data for Foreign Trade,,
N19,Order to Cash,MTS - Standard Sales,Quotation Management,Analyse Customer Requirement,LTI_OTC_Sales_Standard V2.pdf,LTI_OTC_Sales_Standard Visio V2.pdf
N20,Order to Cash,MTS - Standard Sales,Quotation Management,Customer Quotation Processing,,
N21,Order to Cash,MTS - Standard Sales,Quotation Management,Quotation - Costing / Pricing,,
N22,Order to Cash,MTS - Standard Sales,Quotation Management,Quotation - Price Approval Process,,
N23,Order to Cash,MTS - Standard Sales,Quotation Management,Quotation - Version Management,,
N24,Order to Cash,MTS - Standard Sales,Quotation Management,Quotation - Output (EDI/Print/E-mail),,
N25,Order to Cash,MTS - Standard Sales,Quotation Management,Quotation - Status Update (Win/Loss),,
N26,Order to Cash,MTS - Standard Sales,Order Processing ,Sales Order Creation w.r.t. Won Quotation,,
N27,Order to Cash,MTS - Standard Sales,Order Processing ,Credit Management,,
N28,Order to Cash,MTS - Standard Sales,Order Processing ,Tax Calculation - Interface with External system,,
N29,Order to Cash,MTS - Standard Sales,Order Processing ,Partner Processing,,
N30,Order to Cash,MTS - Standard Sales,Order Processing ,Plant Determination,,
N31,Order to Cash,MTS - Standard Sales,Order Processing ,Availability Check / Backorder Processing,,
N32,Order to Cash,MTS - Standard Sales,Order Processing ,Order Confirmation - Output (EDI/Print/E-mail),,
N33,Order to Cash,MTS - Standard Sales,Order Processing ,Customer Purchase Order Attachment,,
N34,Order to Cash,MTS - Standard Sales,Order Processing ,Order Amendment with Approval Process,,
N35,Order to Cash,MTS - Standard Sales,Order Processing ,Export Controls,,
N36,Order to Cash,MTS - Standard Sales,Order Fulfilment,Delivery Processing w.r.t. Sales Order,,
N37,Order to Cash,MTS - Standard Sales,Order Fulfilment,Picking,,
N38,Order to Cash,MTS - Standard Sales,Order Fulfilment,Packing Processing,,
N39,Order to Cash,MTS - Standard Sales,Order Fulfilment,Picking / Packing List - Output (EDI/Print/E-mail),,
N40,Order to Cash,MTS - Standard Sales,Order Fulfilment,Goods Issue Processing,,
N41,Order to Cash,MTS - Standard Sales,Order Fulfilment,Goods Issue Cancellation,,
N42,Order to Cash,MTS - Standard Sales,Order Fulfilment,Quality Check and Quality Assurance,,
N43,Order to Cash,MTS - Standard Sales,Order Fulfilment,Stock removal processing,,
N44,Order to Cash,MTS - Standard Sales,Order Fulfilment,Advance Shipment Notification - Output (EDI/Print/E-mail),,
N45,Order to Cash,MTS - Standard Sales,Order Fulfilment,Export Controls,,
N46,Order to Cash,MTS - Standard Sales,Logistics,Warehouse Management system integration (internal / External),,
N47,Order to Cash,MTS - Standard Sales,Logistics,Transportation Planning and Processing,,
N48,Order to Cash,MTS - Standard Sales,Logistics,Update Logistics information (Carrier / Way-Bill No) ,,
N49,Order to Cash,MTS - Standard Sales,Logistics,Integration with Transporter Systems for Delivery Tracking,,
N50,Order to Cash,MTS - Standard Sales,Logistics,Shipment cost calculation and settlement,,
N51,Order to Cash,MTS - Standard Sales,Order Fulfilment,Proof of Delivery - Difference processing,,
N52,Order to Cash,MTS - Standard Sales,Billing & Invoicing,Processing Invoice List,,
N53,Order to Cash,MTS - Standard Sales,Billing & Invoicing,Pro forma invoice Processing,,
N54,Order to Cash,MTS - Standard Sales,Billing & Invoicing,Commercial invoice Processing,,
N55,Order to Cash,MTS - Standard Sales,Billing & Invoicing,Billing Document Cancellation,,
N56,Order to Cash,MTS - Standard Sales,Billing & Invoicing,Invoice - Output (EDI/Print/E-mail),,
N57,Order to Cash,MTS - Standard Sales,Billing & Invoicing,Debit Memo / Credit Memo Processing,,
N58,Order to Cash,MTS - Standard Sales,Billing & Invoicing,Accounts Receivables - Incoming Payment,,
N59,Order to Cash,MTO/ATO - Make/Assembly To Order,Quotation Management,Analyse Customer Requirement,LTI_OTC_Sales_MTO V2.pdf,LTI_OTC_Sales_MTO Visio V2.pdf
N60,Order to Cash,MTO/ATO - Make/Assembly To Order,Quotation Management,Customer Quotation Processing,,
N61,Order to Cash,MTO/ATO - Make/Assembly To Order,Quotation Management,Quotation - Costing / Pricing,,
N62,Order to Cash,MTO/ATO - Make/Assembly To Order,Quotation Management,Quotation - Price Approval Process,,
N63,Order to Cash,MTO/ATO - Make/Assembly To Order,Quotation Management,Quotation - Version Management,,
N64,Order to Cash,MTO/ATO - Make/Assembly To Order,Quotation Management,Quotation - Output (EDI/Print/E-mail),,
N65,Order to Cash,MTO/ATO - Make/Assembly To Order,Quotation Management,Quotation - Status Update (Win/Loss),,
N66,Order to Cash,MTO/ATO - Make/Assembly To Order,Order Processing ,Sales Order Creation w.r.t. Won Quotation,,
N67,Order to Cash,MTO/ATO - Make/Assembly To Order,Order Processing ,Credit Management,,
N68,Order to Cash,MTO/ATO - Make/Assembly To Order,Order Processing ,Tax Calculation - Interface with External system,,
N69,Order to Cash,MTO/ATO - Make/Assembly To Order,Order Processing ,Partner Processing,,
N70,Order to Cash,MTO/ATO - Make/Assembly To Order,Order Processing ,Plant Determination,,
N71,Order to Cash,MTO/ATO - Make/Assembly To Order,Order Processing ,Costing for Sales Document,,
